"key","en","ar","de"
"dog-store_medium-car__color__purple","Put the dog in the purple car.","ضع الكلب في السيارة الأرجوانية.",
"dog__size__big-store_medium-car__color__purple","Put the big dog in the purple car.","ضع الكلب الكبير في السيارة الأرجوانية.",
"dog-store_medium-car__color__red","Put the dog in the red car.","ضع الكلب في السيارة الحمراء.",
"dog__size__big-store_medium-car__color__red","Put the big dog in the red car.","ضع الكلب الكبير في السيارة الحمراء.",
"dog-store_medium-car__color__silver","Put the dog in the silver car.","ضع الكلب في السيارة الفضية.",
"dog__size__big-store_medium-car__color__silver","Put the big dog in the silver car.","ضع الكلب الكبير في السيارة الفضية.",
"dog-store_medium-car__color__white","Put the dog in the white car.","ضع الكلب في السيارة البيضاء.",
"dog__size__big-store_medium-car__color__white","Put the big dog in the white car.","ضع الكلب الكبير في السيارة البيضاء.",
"dog-store_medium-car__color__yellow","Put the dog in the yellow car.","ضع الكلب في السيارة الصفراء.",
"dog__size__big-store_medium-car__color__yellow","Put the big dog in the yellow car.","ضع الكلب الكبير في السيارة الصفراء.",
"dog-store_medium-car__age__new","Put the dog in the new car.","ضع الكلب في السيارة الجديدة.",
"dog__size__big-store_medium-car__age__new","Put the big dog in the new car.","ضع الكلب الكبير في السيارة الجديدة.",
"dog-store_medium-car__age__old","Put the dog in the old car.","ضع الكلب في السيارة القديمة.",
"dog__size__big-store_medium-car__age__old","Put the big dog in the old car.","ضع الكلب الكبير في السيارة القديمة.",
"dog__size__small-store_medium-car","Put the small dog in the car.","ضع الكلب الصغير في السيارة.",
"dog__size__small-store_medium-car__color__black","Put the small dog in the black car.","ضع الكلب الصغير في السيارة السوداء.",
"dog__size__small-store_medium-car__color__blue","Put the small dog in the blue car.","ضع الكلب الصغير في السيارة الزرقاء.",
"dog__size__small-store_medium-car__color__green","Put the small dog in the green car.","ضع الكلب الصغير في السيارة الخضراء.",
"dog__size__small-store_medium-car__color__orange","Put the small dog in the orange car.","ضع الكلب الصغير في السيارة البرتقالية.",
"dog__size__small-store_medium-car__color__pink","Put the small dog in the pink car.","ضع الكلب الصغير في السيارة الوردية.",
"dog__size__small-store_medium-car__color__purple","Put the small dog in the purple car.","ضع الكلب الصغير في السيارة البنفسجية.",
"dog__size__small-store_medium-car__color__red","Put the small dog in the red car.","ضع الكلب الصغير في السيارة الحمراء.",
"dog__size__small-store_medium-car__color__silver","Put the small dog in the silver car.","ضع الكلب الصغير في السيارة الفضية.",
"dog__size__small-store_medium-car__color__white","Put the small dog in the white car.","ضع الكلب الصغير في السيارة البيضاء.",
"dog__size__small-store_medium-car__color__yellow","Put the small dog in the yellow car.","ضع الكلب الصغير في السيارة الصفراء.",
"dog__size__small-store_medium-car__age__new","Put the small dog in the new car.","ضع الكلب الصغير في السيارة الجديدة.",
"dog__size__small-store_medium-car__age__old","Put the small dog in the old car.","ضع الكلب الصغير في السيارة القديمة.",
"notebook-store_small-backpack","Put the notebook in the backpack.","ضع الدفتر في حقيبة الظهر.",
"notebook-store_small-backpack__color__blue","Put the notebook in the blue backpack.","ضع الدفتر في حقيبة الظهر الزرقاء.",
"notebook-store_small-backpack__color__red","Put the notebook in the red backpack.","ضع الدفتر في حقيبة الظهر الحمراء.",
"notebook-store_medium-car","Put the notebook in the car.","ضع الدفتر في السيارة.",
"notebook-store_medium-car__color__black","Put the notebook in the black car.","ضع الدفتر في السيارة السوداء.",
"notebook-store_medium-car__color__blue","Put the notebook in the blue car.","ضع الدفتر في السيارة الزرقاء.",
"notebook-store_medium-car__color__green","Put the notebook in the green car.","ضع الدفتر في السيارة الخضراء.",
"notebook-store_medium-car__color__orange","Put the notebook in the orange car.","ضع الدفتر في السيارة البرتقالية.",
"notebook-store_medium-car__color__pink","Put the notebook in the pink car.","ضع الدفتر في السيارة الوردية.",
"notebook-store_medium-car__color__purple","Put the notebook in the purple car.","ضع الدفتر في السيارة البنفسجية.",
"notebook-store_medium-car__color__red","Put the notebook in the red car.","ضع الدفتر في السيارة الحمراء.",
"notebook-store_medium-car__color__silver","Put the notebook in the silver car.","ضع الدفتر في السيارة الفضية.",
"notebook-store_medium-car__color__white","Put the notebook in the white car.","ضع الدفتر في السيارة البيضاء.",
"notebook-store_medium-car__color__yellow","Put the notebook in the yellow car.","ضع الدفتر في السيارة الصفراء.",
"notebook-store_medium-car__age__new","Put the notebook in the new car.","ضع الدفتر في السيارة الجديدة.",
"notebook-store_medium-car__age__old","Put the notebook in the old car.","ضع الدفتر في السيارة القديمة.",
"shirt-store_small-backpack__color__red","Put the shirt in the red backpack.","ضع القميص في الحقيبة الحمراء.",
"shirt-store_medium-car","Put the shirt in the car.","ضع القميص في السيارة.",
"shirt-store_medium-car__color__black","Put the shirt in the black car.","ضع القميص في السيارة السوداء.",
"shirt-store_medium-car__color__blue","Put the shirt in the blue car.","ضع القميص في السيارة الزرقاء.",
"shirt-store_medium-car__color__green","Put the shirt in the green car.","ضع القميص في السيارة الخضراء.",
"shirt-store_medium-car__color__orange","Put the shirt in the orange car.","ضع القميص في السيارة البرتقالية.",
"shirt-store_medium-car__color__pink","Put the shirt in the pink car.","ضع القميص في السيارة الوردية.",
"shirt-store_medium-car__color__purple","Put the shirt in the purple car.","ضع القميص في السيارة البنفسجية.",
"shirt-store_medium-car__color__red","Put the shirt in the red car.","ضع القميص في السيارة الحمراء.",
"shirt-store_medium-car__color__silver","Put the shirt in the silver car.","ضع القميص في السيارة الفضية.",
"shirt-store_medium-car__color__white","Put the shirt in the white car.","ضع القميص في السيارة البيضاء.",
"shirt-store_medium-car__color__yellow","Put the shirt in the yellow car.","ضع القميص في السيارة الصفراء.",
"shirt-store_medium-car__age__new","Put the shirt in the new car.","ضع القميص في السيارة الجديدة.",
"shirt-store_medium-car__age__old","Put the shirt in the old car.","ضع القميص في السيارة القديمة.",
"shoes-store_small-backpack","Put the shoes in the backpack.","ضع الحذاء في حقيبة الظهر.",
"shoes-store_small-backpack__color__blue","Put the shoes in the blue backpack.","ضع الحذاء في حقيبة الظهر الزرقاء.",
"shoes-store_small-backpack__color__red","Put the shoes in the red backpack.","ضع الحذاء في حقيبة الظهر الحمراء.",
"shoes-store_medium-car","Put the shoes in the car.","ضع الحذاء في السيارة.",
"shoes-store_medium-car__color__black","Put the shoes in the black car.","ضع الحذاء في السيارة السوداء.",
"shoes-store_medium-car__color__blue","Put the shoes in the blue car.","ضع الحذاء في السيارة الزرقاء.",
"shoes-store_medium-car__color__green","Put the shoes in the green car.","ضع الحذاء في السيارة الخضراء.",
"shoes-store_medium-car__color__orange","Put the shoes in the orange car.","ضع الحذاء في السيارة البرتقالية.",
"shoes-store_medium-car__color__pink","Put the shoes in the pink car.","ضع الحذاء في السيارة الوردية.",
"shoes-store_medium-car__color__purple","Put the shoes in the purple car.","ضع الحذاء في السيارة البنفسجية.",
"shoes-store_medium-car__color__red","Put the shoes in the red car.","ضع الحذاء في السيارة الحمراء.",
"shoes-store_medium-car__color__silver","Put the shoes in the silver car.","ضع الحذاء في السيارة الفضية.",
"shoes-store_medium-car__color__white","Put the shoes in the white car.","ضع الحذاء في السيارة البيضاء.",
"shoes-store_medium-car__color__yellow","Put the shoes in the yellow car.","ضع الحذاء في السيارة الصفراء.",
"shoes-store_medium-car__age__new","Put the shoes in the new car.","ضع الحذاء في السيارة الجديدة.",
"shoes-store_medium-car__age__old","Put the shoes in the old car.","ضع الحذاء في السيارة القديمة.",
"you-get_in-car__color__blue","Get in the blue car.","اركب السيارة الزرقاء.",
"you-get_in-car__color__green","Get in the green car.","اركب السيارة الخضراء.",
"you-get_in-car__color__orange","Get in the orange car.","اركب السيارة البرتقالية.",
"you-get_in-car__color__pink","Get in the pink car.","اركب السيارة الوردية.",
"you-get_in-car__color__purple","Get in the purple car.","اركب السيارة البنفسجية.",
"you-get_in-car__color__red","Get in the red car.","اركب السيارة الحمراء.",
"you-get_in-car__color__silver","Get in the silver car.","اركب السيارة الفضية.",
"you-get_in-car__color__white","Get in the white car.","اركب السيارة البيضاء.",
"you-get_in-car__color__yellow","Get in the yellow car.","اركب السيارة الصفراء.",
"you-get_in-car__age__old","Get in the old car.","اركب السيارة القديمة.",
"apple-store_small-backpack",,,
"apple-store_small-backpack__color__blue",,,
"apple-store_small-backpack__color__red",,,
"apple-put_in_bowl-bowl","Put the apple in the bowl.",,
"apple-store_small-box_opened",,,
"apple-store_small-cupboard",,,
"apple-store_small-shopping_cart","Put the apple in the shopping cart.",,
"apple-store_small-suitcase",,,
"apple-store_small-suitcase__color__white",,,
"apple-store_small-suitcase__color__blue",,,
"apple-eat-you","Eat the apple.",,
"apple_half-store_small-backpack",,,
"apple_half-store_small-backpack__color__blue",,,
"apple_half-store_small-backpack__color__red",,,
"apple_half-put_in_bowl-bowl",,,
"apple_half-store_small-box_opened",,,
"apple_half-store_small-cupboard",,,
"apple_half-store_small-shopping_cart",,,
"apple_half-store_small-suitcase",,,
"apple_half-store_small-suitcase__color__white",,,
"apple_half-store_small-suitcase__color__blue",,,
"apple_half-eat-you",,,
"avocado-store_small-backpack",,,
"avocado-store_small-backpack__color__blue",,,
"avocado-store_small-backpack__color__red",,,
"avocado-put_in_bowl-bowl","Put the avocado in the bowl.",,
"avocado-store_small-box_opened",,,
"avocado-store_small-cupboard",,,
"avocado-store_small-shopping_cart","Put the avocado in the shopping cart.",,
"avocado-store_small-suitcase",,,
"avocado-store_small-suitcase__color__white",,,
"avocado-store_small-suitcase__color__blue",,,
"avocado-eat-you","Eat the avocado.",,
"avocado_cut-store_small-backpack",,,
"avocado_cut-store_small-backpack__color__blue",,,
"avocado_cut-store_small-backpack__color__red",,,
"avocado_cut-put_in_bowl-bowl",,,
"avocado_cut-store_small-box_opened",,,
"avocado_cut-store_small-cupboard",,,
"avocado_cut-store_small-shopping_cart",,,
"avocado_cut-store_small-suitcase",,,
"avocado_cut-store_small-suitcase__color__white",,,
"avocado_cut-store_small-suitcase__color__blue",,,
"avocado_cut-eat-you",,,
"backpack-store_medium-car","Put the backpack in the car.",,
"backpack-store_medium-car__color__black","Put the backpack in the black car.",,
"backpack__color__blue-store_medium-car","Put the blue backpack in the car.",,
"backpack__color__blue-store_medium-car__color__black","Put the blue backpack in the black car.",,
"backpack-store_medium-car__color__blue","Put the backpack in the blue car.",,
"backpack__color__blue-store_medium-car__color__blue","Put the blue backpack in the blue car.",,
"backpack-store_medium-car__color__green","Put the backpack in the green car.",,
"backpack__color__blue-store_medium-car__color__green","Put the blue backpack in the green car.",,
"backpack-store_medium-car__color__orange","Put the backpack in the orange car.",,
"backpack__color__blue-store_medium-car__color__orange","Put the blue backpack in the orange car.",,
"backpack-store_medium-car__color__pink","Put the backpack in the pink car.",,
"backpack__color__blue-store_medium-car__color__pink","Put the blue backpack in the pink car.",,
"backpack-store_medium-car__color__purple","Put the backpack in the purple car.",,
"backpack__color__blue-store_medium-car__color__purple","Put the blue backpack in the purple car.",,
"backpack-store_medium-car__color__red","Put the backpack in the red car.",,
"backpack__color__blue-store_medium-car__color__red","Put the blue backpack in the red car.",,
"backpack-store_medium-car__color__silver","Put the backpack in the silver car.",,
"backpack__color__blue-store_medium-car__color__silver","Put the blue backpack in the silver car.",,
"backpack-store_medium-car__color__white","Put the backpack in the white car.",,
"backpack__color__blue-store_medium-car__color__white","Put the blue backpack in the white car.",,
"backpack-store_medium-car__color__yellow","Put the backpack in the yellow car.",,
"backpack-store_medium-car__age__new","Put the backpack in the new car.",,
"backpack__color__blue-store_medium-car__color__yellow","Put the blue backpack in the yellow car.",,
"backpack__color__blue-store_medium-car__age__new","Put the blue backpack in the new car.",,
"backpack-store_medium-car__age__old","Put the backpack in the old car.",,
"backpack__color__blue-store_medium-car__age__old","Put the blue backpack in the old car.",,
"backpack__color__red-store_medium-car","Put the red backpack in the car.",,
"backpack__color__red-store_medium-car__color__black","Put the red backpack in the black car.",,
"backpack__color__red-store_medium-car__color__blue","Put the red backpack in the blue car.",,
"backpack__color__red-store_medium-car__color__green","Put the red backpack in the green car.",,
"backpack__color__red-store_medium-car__color__orange","Put the red backpack in the orange car.",,
"backpack__color__red-store_medium-car__color__pink","Put the red backpack in the pink car.",,
"backpack__color__red-store_medium-car__color__purple","Put the red backpack in the purple car.",,
"backpack__color__red-store_medium-car__color__red","Put the red backpack in the red car.",,
"backpack__color__red-store_medium-car__color__silver","Put the red backpack in the silver car.",,
"backpack__color__red-store_medium-car__color__white","Put the red backpack in the white car.",,
"backpack__color__red-store_medium-car__color__yellow","Put the red backpack in the yellow car.",,
"backpack__color__red-store_medium-car__age__new","Put the red backpack in the new car.",,
"backpack__color__red-store_medium-car__age__old","Put the red backpack in the old car.",,
"ball-give-boy","Give the ball to the boy.",,
"ball-give-brothers","Give the ball to the brothers.",,
"ball-give-couple",,,
"ball-give-family",,,
"ball-give-father_son",,,
"ball-give-man",,,
"ball-give-siblings",,,
"ball-give-sisters",,,
"ball-give-woman",,,
"ball-give-woman__position__standing",,,
"ball-give-woman__position__sitting",,,
"ball-give-woman__hair__brunette",,,
"ball-give-woman__hair__blonde",,,
"ball-give-woman__hair__black",,,
"ball-give-you","Take the ball.",,
"banana-store_small-backpack",,,
"banana-store_small-backpack__color__blue",,,
"banana-store_small-backpack__color__red",,,
"banana-put_in_bowl-bowl","Put the banana in the bowl.",,
"banana-store_small-box_opened",,,
"banana-store_small-cupboard",,,
"banana-store_small-shopping_cart",,,
"banana-store_small-suitcase",,,
"banana-store_small-suitcase__color__white",,,
"banana-store_small-suitcase__color__blue",,,
"banana-eat-you","Eat the banana.",,
"banana_peeled-store_small-backpack",,,
"banana_peeled-store_small-backpack__color__blue",,,
"banana_peeled-store_small-backpack__color__red",,,
"banana_peeled-put_in_bowl-bowl",,,
"banana_peeled-store_small-box_opened",,,
"banana_peeled-store_small-cupboard",,,
"banana_peeled-store_small-shopping_cart",,,
"banana_peeled-store_small-suitcase",,,
"banana_peeled-store_small-suitcase__color__white",,,
"banana_peeled-store_small-suitcase__color__blue",,,
"banana_peeled-eat-you","Eat the peeled banana.",,
"beanie-interact_clothes-clothes_line","Hang the beanie on the clothesline.",,
"beanie-interact_clothes-coat_rack",,,
"beanie-interact_clothes-washing_machine","Wash the beanie.",,
"beanie-interact_clothes-you","Put on the beanie.",,
"bed-move_furniture-apartment","Move the bed into the apartment.",,
"books-store_small-backpack","Put the books in the backpack.",,
"books-store_small-backpack__color__blue","Put the books in the blue backpack.",,
"books-store_small-backpack__color__red",,,
"books-store_small-box_opened","Put the books in the box.",,
"books-store_small-cupboard",,,
"books-store_small-shopping_cart",,,
"books-store_small-suitcase",,,
"books-store_small-suitcase__color__white",,,
"books-store_small-suitcase__color__blue",,,
"bottle-store_small-box_opened",,,
"bottle-store_small-cupboard","Put the bottle in the cabinet.",,
"bottle-store_small-shopping_cart",,,
"bottle-store_small-suitcase",,,
"bottle-store_small-suitcase__color__white",,,
"bottle-store_small-suitcase__color__blue",,,
"box_closed-move_furniture-apartment","Put the box into the apartment.",,
"bread-eat-you","Eat the bread.",,
"broccoli-store_small-backpack",,,
"broccoli-store_small-backpack__color__blue",,,
"broccoli-store_small-backpack__color__red",,,
"broccoli-put_in_bowl-bowl","Put the broccoli in the bowl.",,
"broccoli-store_small-box_opened",,,
"broccoli-store_small-cupboard",,,
"broccoli-store_small-shopping_cart",,,
"broccoli-store_small-suitcase",,,
"broccoli-store_small-suitcase__color__white",,,
"broccoli-store_small-suitcase__color__blue",,,
"broccoli-eat-you","Eat the broccoli.",,
"broccoli_half-store_small-backpack",,,
"broccoli_half-store_small-backpack__color__blue",,,
"broccoli_half-store_small-backpack__color__red",,,
"broccoli_half-put_in_bowl-bowl",,,
"broccoli_half-store_small-box_opened",,,
"broccoli_half-store_small-cupboard",,,
"broccoli_half-store_small-shopping_cart",,,
"broccoli_half-store_small-suitcase",,,
"broccoli_half-store_small-suitcase__color__white",,,
"broccoli_half-store_small-suitcase__color__blue",,,
"broccoli_half-eat-you",,,
"brush-store_small-backpack",,,
"brush-store_small-backpack__color__blue",,,
"brush-store_small-backpack__color__red",,,
"brush-store_small-box_opened",,,
"brush-store_small-cupboard",,,
"brush-paint_in-notebook","Paint in the notebook.",,
"brush-store_small-shopping_cart",,,
"brush-store_small-suitcase","Put the brush in the suitcase.",,
"brush-store_small-suitcase__color__white",,,
"brush-store_small-suitcase__color__blue",,,
"bus-drive_to-church","The bus goes to the church.",,
"bus-drive_to-house","The bus goes to the house.",,
"bus-drive_to-parking_lot",,,
"bus__size__big-drive_to-church",,,
"bus__size__big-drive_to-house",,,
"bus__size__big-drive_to-parking_lot",,,
"bus__color__blue-drive_to-church",,,
"bus__color__blue-drive_to-house",,,
"bus__color__blue-drive_to-parking_lot",,,
"cake-eat-you","Eat the cake.",,
"camera-take_photo-giraffe","Take a photo of the giraffe.",,
"camera-take_photo-snake","Take a photo of the snake.",,
"camera-take_photo-tortoise","Take a photo of the tortoise.",,
"cap-interact_clothes-clothes_line",,,
"cap-interact_clothes-coat_rack",,,
"cap-interact_clothes-washing_machine",,,
"cap-interact_clothes-you","Put on the cap.",,
"car-drive_to-church","Drive to the church.",,
"car__color__black-drive_to-church",,,
"car-drive_to-house","Drive to the house.",,
"car__color__black-drive_to-house","Park the car.",,
"car-drive_to-parking_lot",,,
"car__color__black-drive_to-parking_lot",,,
"car__color__blue-drive_to-church",,,
"car__color__blue-drive_to-house",,,
"car__color__blue-drive_to-parking_lot",,,
"car__color__green-drive_to-church",,,
"car__color__green-drive_to-house",,,
"car__color__green-drive_to-parking_lot",,,
"car__color__orange-drive_to-church",,,
"car__color__orange-drive_to-house",,,
"car__color__orange-drive_to-parking_lot",,,
"car__color__pink-drive_to-church",,,
"car__color__pink-drive_to-house",,,
"car__color__pink-drive_to-parking_lot",,,
"car__color__purple-drive_to-church",,,
"car__color__purple-drive_to-house",,,
"car__color__purple-drive_to-parking_lot",,,
"car__color__red-drive_to-church",,,
"car__color__red-drive_to-house",,,
"car__color__red-drive_to-parking_lot",,,
"car__color__silver-drive_to-church",,,
"car__color__silver-drive_to-house",,,
"car__color__silver-drive_to-parking_lot",,,
"car__color__white-drive_to-church",,,
"car__color__white-drive_to-house",,,
"car__color__white-drive_to-parking_lot",,,
"car__color__yellow-drive_to-church",,,
"car__age__new-drive_to-church",,,
"car__color__yellow-drive_to-house",,,
"car__age__new-drive_to-house",,,
"car__color__yellow-drive_to-parking_lot",,,
"car__age__new-drive_to-parking_lot",,,
"car__age__old-drive_to-church",,,
"car__age__old-drive_to-house",,,
"car__age__old-drive_to-parking_lot",,,
"car_key-put_in_bowl-bowl","Put the car key in the bowl.",,
"car_key-give-boy",,,
"car_key-give-brothers",,,
"car_key-give-couple",,,
"car_key-give-family",,,
"car_key-give-father_son",,,
"car_key-give-man","Give the car key to the man.",,
"car_key-give-siblings",,,
"car_key-give-sisters",,,
"car_key-give-woman","Give the car key to the woman.",,
"car_key-give-woman__position__standing",,,
"car_key-give-woman__position__sitting",,,
"car_key-give-woman__hair__brunette",,,
"car_key-give-woman__hair__blonde",,,
"car_key-give-woman__hair__black",,,
"car_key-give-you","Take the keys.",,
"car_keys-put_in_bowl-bowl",,,
"car_keys-give-boy",,,
"car_keys-give-brothers",,,
"car_keys-give-couple",,,
"car_keys-give-family",,,
"car_keys-give-father_son",,,
"car_keys-give-man",,,
"car_keys-give-siblings",,,
"car_keys-give-sisters",,,
"car_keys-give-woman",,,
"car_keys-give-woman__position__standing",,,
"car_keys-give-woman__position__sitting",,,
"car_keys-give-woman__hair__brunette",,,
"car_keys-give-woman__hair__blonde",,,
"car_keys-give-woman__hair__black",,,
"car_keys-give-you",,,
"cat-store_medium-car","Put the cat in the car.",,
"cat-store_medium-car__color__black","Put the cat in the black car.",,
"cat__color__grey-store_medium-car","Put the grey cat in the car.",,
"cat__color__grey-store_medium-car__color__black","Put the grey cat in the black car.",,
"cat-store_medium-car__color__blue","Put the cat in the blue car.",,
"cat__color__grey-store_medium-car__color__blue","Put the grey cat in the blue car.",,
"cat-store_medium-car__color__green","Put the cat in the green car.",,
"cat__color__grey-store_medium-car__color__green","Put the grey cat in the green car.",,
"cat-store_medium-car__color__orange","Put the cat in the orange car.",,
"cat__color__grey-store_medium-car__color__orange","Put the grey cat in the orange car.",,
"cat-store_medium-car__color__pink","Put the cat in the pink car.",,
"cat__color__grey-store_medium-car__color__pink","Put the grey cat in the pink car.",,
"cat-store_medium-car__color__purple","Put the cat in the purple car.",,
"cat__color__grey-store_medium-car__color__purple","Put the grey cat in the purple car.",,
"cat-store_medium-car__color__red","Put the cat in the red car.",,
"cat__color__grey-store_medium-car__color__red","Put the grey cat in the red car.",,
"cat-store_medium-car__color__silver","Put the cat in the silver car.",,
"cat__color__grey-store_medium-car__color__silver","Put the grey cat in the silver car.",,
"cat-store_medium-car__color__white","Put the cat in the white car.",,
"cat__color__grey-store_medium-car__color__white","Put the grey cat in the white car.",,
"cat-store_medium-car__color__yellow","Put the cat in the yellow car.",,
"cat-store_medium-car__age__new",,,
"cat__color__grey-store_medium-car__color__yellow","Put the grey cat in the yellow car.",,
"cat__color__grey-store_medium-car__age__new",,,
"cat-store_medium-car__age__old",,,
"cat__color__grey-store_medium-car__age__old",,,
"cat__color__brown-store_medium-car","Put the brown cat in the car.",,
"cat__color__brown-store_medium-car__color__black","Put the brown cat in the black car.",,
"cat__color__brown-store_medium-car__color__blue","Put the brown cat in the blue car.",,
"cat__color__brown-store_medium-car__color__green","Put the brown cat in the green car.",,
"cat__color__brown-store_medium-car__color__orange","Put the brown cat in the orange car.",,
"cat__color__brown-store_medium-car__color__pink","Put the brown cat in the pink car.",,
"cat__color__brown-store_medium-car__color__purple","Put the brown cat in the purple car.",,
"cat__color__brown-store_medium-car__color__red","Put the brown cat in the red car.",,
"cat__color__brown-store_medium-car__color__silver","Put the brown cat in the silver car.",,
"cat__color__brown-store_medium-car__color__white","Put the brown cat in the white car.",,
"cat__color__brown-store_medium-car__color__yellow","Put the brown cat in the yellow car.",,
"cat__color__brown-store_medium-car__age__new",,,
"cat__color__brown-store_medium-car__age__old",,,
"cat__color__white-store_medium-car","Put the white cat in the car.",,
"cat__color__white-store_medium-car__color__black","Put the white cat in the black car.",,
"cat__color__white-store_medium-car__color__blue","Put the white cat in the blue car.",,
"cat__color__white-store_medium-car__color__green","Put the white cat in the green car.",,
"cat__color__white-store_medium-car__color__orange","Put the white cat in the orange car.",,
"cat__color__white-store_medium-car__color__pink","Put the white cat in the pink car.",,
"cat__color__white-store_medium-car__color__purple","Put the white cat in the purple car.",,
"cat__color__white-store_medium-car__color__red","Put the white cat in the red car.",,
"cat__color__white-store_medium-car__color__silver","Put the white cat in the silver car.",,
"cat__color__white-store_medium-car__color__white","Put the white cat in the white car.",,
"cat__color__white-store_medium-car__color__yellow","Put the white cat in the yellow car.",,
"cat__color__white-store_medium-car__age__new",,,
"cat__color__white-store_medium-car__age__old",,,
"cat__color__black_white-store_medium-car",,,
"cat__color__black_white-store_medium-car__color__black",,,
"cat__color__black_white-store_medium-car__color__blue",,,
"cat__color__black_white-store_medium-car__color__green",,,
"cat__color__black_white-store_medium-car__color__orange",,,
"cat__color__black_white-store_medium-car__color__pink",,,
"cat__color__black_white-store_medium-car__color__purple",,,
"cat__color__black_white-store_medium-car__color__red",,,
"cat__color__black_white-store_medium-car__color__silver",,,
"cat__color__black_white-store_medium-car__color__white",,,
"cat__color__black_white-store_medium-car__color__yellow",,,
"cat__color__black_white-store_medium-car__age__new",,,
"cat__color__black_white-store_medium-car__age__old",,,
"cat_food-feed-cat","Feed the cat.",,
"cat_food-feed-cat__color__grey","Feed the grey cat.",,
"cat_food-feed-cat__color__brown","Feed the brown cat.",,
"cat_food-feed-cat__color__white","Feed the white cat.",,
"cat_food-feed-cat__color__black_white","Feed the black and white cat.",,
"cat_food-feed-dog","Feed the dog.",,
"cat_food-feed-dog__size__big","Feed the big dog.",,
"cat_food-feed-dog__size__small","Feed the small dog.",,
"clock-move_furniture-apartment","Move the clock into the apartment.",,
"coat_hanging-interact_clothes-clothes_line",,,
"coat_hanging-interact_clothes-coat_rack","Hang up the coat.",,
"coat_hanging-interact_clothes-washing_machine","Wash the coat.",,
"coat_hanging-interact_clothes-you",,,
"coconut-store_small-backpack",,,
"coconut-store_small-backpack__color__blue",,,
"coconut-store_small-backpack__color__red",,,
"coconut-put_in_bowl-bowl",,,
"coconut-store_small-box_opened",,,
"coconut-store_small-cupboard",,,
"coconut-store_small-shopping_cart",,,
"coconut-store_small-suitcase",,,
"coconut-store_small-suitcase__color__white",,,
"coconut-store_small-suitcase__color__blue",,,
"coconut-eat-you","Eat the coconut.",,
"comb-give-boy",,,
"comb-give-brothers",,,
"comb-give-couple",,,
"comb-give-family",,,
"comb-give-father_son",,,
"comb-comb-man",,,
"comb-give-man",,,
"comb-give-siblings",,,
"comb-give-sisters",,,
"comb-give-woman",,,
"comb-give-woman__position__standing",,,
"comb-give-woman__position__sitting",,,
