"key","en","es","ar","de"
"bottle-store_medium-car__color__white","Put the bottle in the white car.","Pon la botella en el coche blanco.","ضع الزجاجة في السيارة البيضاء.","Lege die Flasche in das weiße Auto."
"bottle-store_medium-car__color__yellow","Put the bottle in the yellow car.","Pon la botella en el coche amarillo.","ضع الزجاجة في السيارة الصفراء.","Lege die Flasche in das gelbe Auto."
"bottle-store_medium-car__age__new","Put the bottle in the new car.","Pon la botella en el coche nuevo.","ضع الزجاجة في السيارة الجديدة.","Lege die Flasche in das neue Auto."
"bottle-store_medium-car__age__old","Put the bottle in the old car.","Pon la botella en el coche viejo.","ضع الزجاجة في السيارة القديمة.","Lege die Flasche in das alte Auto."
"dog-store_medium-car","Put the dog in the car.","Pon el perro en el coche.","ضع الكلب في السيارة.","Lege den Hund in das Auto."
"dog-store_medium-car__color__black","Put the dog in the black car.","Pon el perro en el coche negro.","ضع الكلب في السيارة السوداء.","Lege den Hund in das schwarze Auto."
"dog__size__big-store_medium-car","Put the big dog in the car.","Mete el perro grande en el coche.","ضع الكلب الكبير في السيارة.","Setze den großen Hund in das Auto."
"dog__size__big-store_medium-car__color__black","Put the big dog in the black car.","Mete al perro grande en el coche negro.","ضع الكلب الكبير في السيارة السوداء.","Setze den großen Hund in das schwarze Auto."
"dog-store_medium-car__color__blue","Put the dog in the blue car.","Mete al perro en el coche azul.","ضع الكلب في السيارة الزرقاء.","Setze den Hund in das blaue Auto."
"dog__size__big-store_medium-car__color__blue","Put the big dog in the blue car.","Mete al perro grande en el coche azul.","ضع الكلب الكبير في السيارة الزرقاء.","Setze den großen Hund in das blaue Auto."
"dog-store_medium-car__color__green","Put the dog in the green car.","Mete al perro en el coche verde.","ضع الكلب في السيارة الخضراء.","Setze den Hund in das grüne Auto."
"dog__size__big-store_medium-car__color__green","Put the big dog in the green car.","Mete al perro grande en el coche verde.","ضع الكلب الكبير في السيارة الخضراء.","Setze den großen Hund in das grüne Auto."
"dog-store_medium-car__color__orange","Put the dog in the orange car.","Mete al perro en el coche naranja.","ضع الكلب في السيارة البرتقالية.","Setze den Hund in das orangefarbene Auto."
"dog__size__big-store_medium-car__color__orange","Put the big dog in the orange car.","Mete al perro grande en el coche naranja.","ضع الكلب الكبير في السيارة البرتقالية.","Setze den großen Hund in das orangefarbene Auto."
"dog-store_medium-car__color__pink","Put the dog in the pink car.","Mete al perro en el coche rosa.","ضع الكلب في السيارة الوردية.","Setze den Hund in das rosa Auto."
"dog__size__big-store_medium-car__color__pink","Put the big dog in the pink car.","Mete al perro grande en el coche rosa.","ضع الكلب الكبير في السيارة الوردية.","Setze den großen Hund in das rosa Auto."
"dog-store_medium-car__color__purple","Put the dog in the purple car.","Mete al perro en el coche morado.","ضع الكلب في السيارة الأرجوانية.","Setze den Hund in das lila Auto."
"dog__size__big-store_medium-car__color__purple","Put the big dog in the purple car.","Mete al perro grande en el coche morado.","ضع الكلب الكبير في السيارة الأرجوانية.","Setze den großen Hund in das lila Auto."
"dog-store_medium-car__color__red","Put the dog in the red car.","Mete al perro en el coche rojo.","ضع الكلب في السيارة الحمراء.","Setze den Hund in das rote Auto."
"dog__size__big-store_medium-car__color__red","Put the big dog in the red car.","Mete al perro grande en el coche rojo.","ضع الكلب الكبير في السيارة الحمراء.","Setze den großen Hund in das rote Auto."
"dog-store_medium-car__color__silver","Put the dog in the silver car.","Mete al perro en el coche plateado.","ضع الكلب في السيارة الفضية.","Setze den Hund in das silberne Auto."
"dog__size__big-store_medium-car__color__silver","Put the big dog in the silver car.","Mete al perro grande en el coche plateado.","ضع الكلب الكبير في السيارة الفضية.","Setze den großen Hund in das silberne Auto."
"dog-store_medium-car__color__white","Put the dog in the white car.","Mete al perro en el coche blanco.","ضع الكلب في السيارة البيضاء.","Setze den Hund in das weiße Auto."
"dog__size__big-store_medium-car__color__white","Put the big dog in the white car.","Mete al perro grande en el coche blanco.","ضع الكلب الكبير في السيارة البيضاء.","Setze den großen Hund in das weiße Auto."
"dog-store_medium-car__color__yellow","Put the dog in the yellow car.","Pon al perro en el coche amarillo.","ضع الكلب في السيارة الصفراء.","Setze den Hund in das gelbe Auto."
"dog__size__big-store_medium-car__color__yellow","Put the big dog in the yellow car.","Pon al perro grande en el coche amarillo.","ضع الكلب الكبير في السيارة الصفراء.","Setze den großen Hund in das gelbe Auto."
"dog-store_medium-car__age__new","Put the dog in the new car.","Pon al perro en el coche nuevo.","ضع الكلب في السيارة الجديدة.","Setze den Hund in das neue Auto."
"dog__size__big-store_medium-car__age__new","Put the big dog in the new car.","Pon al perro grande en el coche nuevo.","ضع الكلب الكبير في السيارة الجديدة.","Setze den großen Hund in das neue Auto."
"dog-store_medium-car__age__old","Put the dog in the old car.","Mete al perro en el coche viejo.","ضع الكلب في السيارة القديمة.","Setze den Hund in das alte Auto."
"dog__size__big-store_medium-car__age__old","Put the big dog in the old car.","Mete al perro grande en el coche viejo.","ضع الكلب الكبير في السيارة القديمة.","Setze den großen Hund in das alte Auto."
"dog__size__small-store_medium-car","Put the small dog in the car.","Mete al perro pequeño en el coche.","ضع الكلب الصغير في السيارة.","Setze den kleinen Hund in das Auto."
"dog__size__small-store_medium-car__color__black","Put the small dog in the black car.","Mete al perro pequeño en el coche negro.","ضع الكلب الصغير في السيارة السوداء.","Setze den kleinen Hund in das schwarze Auto."
"dog__size__small-store_medium-car__color__blue","Put the small dog in the blue car.","Mete al perro pequeño en el coche azul.","ضع الكلب الصغير في السيارة الزرقاء.","Setze den kleinen Hund in das blaue Auto."
"dog__size__small-store_medium-car__color__green","Put the small dog in the green car.","Mete al perro pequeño en el coche verde.","ضع الكلب الصغير في السيارة الخضراء.","Setze den kleinen Hund in das grüne Auto."
"dog__size__small-store_medium-car__color__orange","Put the small dog in the orange car.","Mete al perro pequeño en el coche naranja.","ضع الكلب الصغير في السيارة البرتقالية.","Setze den kleinen Hund in das orangefarbene Auto."
"dog__size__small-store_medium-car__color__pink","Put the small dog in the pink car.","Mete al perro pequeño en el coche rosa.","ضع الكلب الصغير في السيارة الوردية.","Setze den kleinen Hund in das rosa Auto."
"dog__size__small-store_medium-car__color__purple","Put the small dog in the purple car.","Mete al perro pequeño en el coche morado.","ضع الكلب الصغير في السيارة البنفسجية.","Setze den kleinen Hund in das lila Auto."
"dog__size__small-store_medium-car__color__red","Put the small dog in the red car.","Mete al perro pequeño en el coche rojo.","ضع الكلب الصغير في السيارة الحمراء.","Setze den kleinen Hund in das rote Auto."
"dog__size__small-store_medium-car__color__silver","Put the small dog in the silver car.","Mete al perro pequeño en el coche plateado.","ضع الكلب الصغير في السيارة الفضية.","Setze den kleinen Hund in das silberne Auto."
"dog__size__small-store_medium-car__color__white","Put the small dog in the white car.","Mete al perro pequeño en el coche blanco.","ضع الكلب الصغير في السيارة البيضاء.","Setze den kleinen Hund in das weiße Auto."
"dog__size__small-store_medium-car__color__yellow","Put the small dog in the yellow car.","Pon al perro pequeño en el coche amarillo.","ضع الكلب الصغير في السيارة الصفراء.","Setze den kleinen Hund in das gelbe Auto."
"dog__size__small-store_medium-car__age__new","Put the small dog in the new car.","Pon al perro pequeño en el coche nuevo.","ضع الكلب الصغير في السيارة الجديدة.","Setze den kleinen Hund in das neue Auto."
"dog__size__small-store_medium-car__age__old","Put the small dog in the old car.","Pon al perro pequeño en el coche viejo.","ضع الكلب الصغير في السيارة القديمة.","Setze den kleinen Hund in das alte Auto."
"notebook-store_small-backpack","Put the notebook in the backpack.","Pon el cuaderno en la mochila.","ضع الدفتر في حقيبة الظهر.","Lege das Notizbuch in den Rucksack."
"notebook-store_small-backpack__color__blue","Put the notebook in the blue backpack.","Pon el cuaderno en la mochila azul.","ضع الدفتر في حقيبة الظهر الزرقاء.","Lege das Notizbuch in den blauen Rucksack."
"notebook-store_small-backpack__color__red","Put the notebook in the red backpack.","Pon el cuaderno en la mochila roja.","ضع الدفتر في حقيبة الظهر الحمراء.","Legen Sie das Notizbuch in den roten Rucksack."
"notebook-store_medium-car","Put the notebook in the car.","Pon el cuaderno en el coche.","ضع الدفتر في السيارة.","Legen Sie das Notizbuch in das Auto."
"notebook-store_medium-car__color__black","Put the notebook in the black car.","Mete el cuaderno en el coche negro.","ضع الدفتر في السيارة السوداء.","Lege das Notizbuch in das schwarze Auto."
"notebook-store_medium-car__color__blue","Put the notebook in the blue car.","Mete el cuaderno en el coche azul.","ضع الدفتر في السيارة الزرقاء.","Lege das Notizbuch in das blaue Auto."
"notebook-store_medium-car__color__green","Put the notebook in the green car.","Mete el cuaderno en el coche verde.","ضع الدفتر في السيارة الخضراء.","Lege das Notizbuch in das grüne Auto."
"notebook-store_medium-car__color__orange","Put the notebook in the orange car.","Pon la libreta en el coche naranja.","ضع الدفتر في السيارة البرتقالية.","Lege das Notizbuch in das orangefarbene Auto."
"notebook-store_medium-car__color__pink","Put the notebook in the pink car.","Pon la libreta en el coche rosa.","ضع الدفتر في السيارة الوردية.","Lege das Notizbuch in das rosa Auto."
"notebook-store_medium-car__color__purple","Put the notebook in the purple car.","Pon la libreta en el coche morado.","ضع الدفتر في السيارة البنفسجية.","Lege das Notizbuch in das lila Auto."
"notebook-store_medium-car__color__red","Put the notebook in the red car.","Pon la libreta en el coche rojo.","ضع الدفتر في السيارة الحمراء.","Lege das Notizbuch in das rote Auto."
"notebook-store_medium-car__color__silver","Put the notebook in the silver car.","Pon la libreta en el coche plateado.","ضع الدفتر في السيارة الفضية.","Legen Sie das Notizbuch in das silberne Auto."
"notebook-store_medium-car__color__white","Put the notebook in the white car.","Pon la libreta en el coche blanco.","ضع الدفتر في السيارة البيضاء.","Legen Sie das Notizbuch in das weiße Auto."
"notebook-store_medium-car__color__yellow","Put the notebook in the yellow car.","Pon la libreta en el coche amarillo.","ضع الدفتر في السيارة الصفراء.","Legen Sie das Notizbuch in das gelbe Auto."
"notebook-store_medium-car__age__new","Put the notebook in the new car.","Pon la libreta en el coche nuevo.","ضع الدفتر في السيارة الجديدة.","Legen Sie das Notizbuch in das neue Auto."
"notebook-store_medium-car__age__old","Put the notebook in the old car.","Pon el cuaderno en el coche viejo.","ضع الدفتر في السيارة القديمة.","Legen Sie das Notizbuch in das alte Auto."
"shirt-store_small-backpack__color__red","Put the shirt in the red backpack.","Mete la camiseta en la mochila roja.","ضع القميص في الحقيبة الحمراء.","Lege das Hemd in den roten Rucksack."
"shirt-store_medium-car","Put the shirt in the car.","Pon la camisa en el coche.","ضع القميص في السيارة.","Lege das Hemd in das Auto."
"shirt-store_medium-car__color__black","Put the shirt in the black car.","Pon la camisa en el coche negro.","ضع القميص في السيارة السوداء.","Lege das Hemd in das schwarze Auto."
"shirt-store_medium-car__color__blue","Put the shirt in the blue car.","Mete la camisa en el coche azul.","ضع القميص في السيارة الزرقاء.","Lege das Hemd in das blaue Auto."
"shirt-store_medium-car__color__green","Put the shirt in the green car.","Mete la camisa en el coche verde.","ضع القميص في السيارة الخضراء.","Lege das Hemd in das grüne Auto."
"shirt-store_medium-car__color__orange","Put the shirt in the orange car.","Mete la camisa en el coche naranja.","ضع القميص في السيارة البرتقالية.","Lege das Hemd in das orangefarbene Auto."
"shirt-store_medium-car__color__pink","Put the shirt in the pink car.","Mete la camisa en el coche rosa.","ضع القميص في السيارة الوردية.","Legen Sie das Hemd in das rosa Auto."
"shirt-store_medium-car__color__purple","Put the shirt in the purple car.","Mete la camiseta en el coche morado.","ضع القميص في السيارة البنفسجية.","Legen Sie das Hemd in das lila Auto."
"shirt-store_medium-car__color__red","Put the shirt in the red car.","Pon la camiseta en el coche rojo.","ضع القميص في السيارة الحمراء.","Legen Sie das Hemd in das rote Auto."
"shirt-store_medium-car__color__silver","Put the shirt in the silver car.","Pon la camiseta en el coche plateado.","ضع القميص في السيارة الفضية.","Legen Sie das Hemd in das silberne Auto."
"shirt-store_medium-car__color__white","Put the shirt in the white car.","Pon la camiseta en el coche blanco.","ضع القميص في السيارة البيضاء.","Legen Sie das Hemd in das weiße Auto."
"shirt-store_medium-car__color__yellow","Put the shirt in the yellow car.","Pon la camiseta en el coche amarillo.","ضع القميص في السيارة الصفراء.","Legen Sie das Hemd in das gelbe Auto."
"shirt-store_medium-car__age__new","Put the shirt in the new car.","Pon la camisa en el coche nuevo.","ضع القميص في السيارة الجديدة.","Lege das Hemd in das neue Auto."
"shirt-store_medium-car__age__old","Put the shirt in the old car.","Pon la camisa en el coche viejo.","ضع القميص في السيارة القديمة.","Legen Sie das Hemd in das alte Auto."
"shoes-store_small-backpack","Put the shoes in the backpack.","Mete los zapatos en la mochila.","ضع الحذاء في حقيبة الظهر.","Lege die Schuhe in den Rucksack."
"shoes-store_small-backpack__color__blue","Put the shoes in the blue backpack.","Mete los zapatos en la mochila azul.","ضع الحذاء في حقيبة الظهر الزرقاء.","Legen Sie die Schuhe in den blauen Rucksack."
"shoes-store_small-backpack__color__red","Put the shoes in the red backpack.","Mete los zapatos en la mochila roja.","ضع الحذاء في حقيبة الظهر الحمراء.","Legen Sie die Schuhe in den roten Rucksack."
"shoes-store_medium-car","Put the shoes in the car.","Mete los zapatos en el coche.","ضع الحذاء في السيارة.","Legen Sie die Schuhe in das Auto."
"shoes-store_medium-car__color__black","Put the shoes in the black car.","Mete los zapatos en el coche negro.","ضع الحذاء في السيارة السوداء.","Lege die Schuhe in das schwarze Auto."
"shoes-store_medium-car__color__blue","Put the shoes in the blue car.","Mete los zapatos en el coche azul.","ضع الحذاء في السيارة الزرقاء.","Lege die Schuhe in das blaue Auto."
"shoes-store_medium-car__color__green","Put the shoes in the green car.","Mete los zapatos en el coche verde.","ضع الحذاء في السيارة الخضراء.","Lege die Schuhe in das grüne Auto."
"shoes-store_medium-car__color__orange","Put the shoes in the orange car.","Mete los zapatos en el coche naranja.","ضع الحذاء في السيارة البرتقالية.","Lege die Schuhe in das orangefarbene Auto."
"shoes-store_medium-car__color__pink","Put the shoes in the pink car.","Mete los zapatos en el coche rosa.","ضع الحذاء في السيارة الوردية.","Lege die Schuhe in das rosa Auto."
"shoes-store_medium-car__color__purple","Put the shoes in the purple car.","Mete los zapatos en el coche morado.","ضع الحذاء في السيارة البنفسجية.","Lege die Schuhe in das lila Auto."
"shoes-store_medium-car__color__red","Put the shoes in the red car.","Mete los zapatos en el coche rojo.","ضع الحذاء في السيارة الحمراء.","Lege die Schuhe in das rote Auto."
"shoes-store_medium-car__color__silver","Put the shoes in the silver car.","Mete los zapatos en el coche plateado.","ضع الحذاء في السيارة الفضية.","Lege die Schuhe in das silberne Auto."
"shoes-store_medium-car__color__white","Put the shoes in the white car.","Mete los zapatos en el coche blanco.","ضع الحذاء في السيارة البيضاء.","Lege die Schuhe in das weiße Auto."
"shoes-store_medium-car__color__yellow","Put the shoes in the yellow car.","Pon los zapatos en el coche amarillo.","ضع الحذاء في السيارة الصفراء.","Legen Sie die Schuhe in das gelbe Auto."
"shoes-store_medium-car__age__new","Put the shoes in the new car.","Pon los zapatos en el coche nuevo.","ضع الحذاء في السيارة الجديدة.","Legen Sie die Schuhe in das neue Auto."
"shoes-store_medium-car__age__old","Put the shoes in the old car.","Pon los zapatos en el coche viejo.","ضع الحذاء في السيارة القديمة.","Legen Sie die Schuhe in das alte Auto."
"you-get_in-car__color__blue","Get in the blue car.","Sube al coche azul.","اركب السيارة الزرقاء.","Steigen Sie in das blaue Auto."
"you-get_in-car__color__green","Get in the green car.","Súbete al coche verde.","اركب السيارة الخضراء.","Steigen Sie in das grüne Auto."
"you-get_in-car__color__orange","Get in the orange car.","Súbete al coche naranja.","اركب السيارة البرتقالية.","Steig in das orangefarbene Auto."
"you-get_in-car__color__pink","Get in the pink car.","Súbete al coche rosa.","اركب السيارة الوردية.","Steig in das rosa Auto."
"you-get_in-car__color__purple","Get in the purple car.","Súbete al coche morado.","اركب السيارة البنفسجية.","Steig in das lila Auto."
"you-get_in-car__color__red","Get in the red car.","Súbete al coche rojo.","اركب السيارة الحمراء.","Steigen Sie in das rote Auto."
"you-get_in-car__color__silver","Get in the silver car.","Sube al coche plateado.","اركب السيارة الفضية.","Steig in das silberne Auto."
"you-get_in-car__color__white","Get in the white car.","Sube al coche blanco.","اركب السيارة البيضاء.","Steig in das weiße Auto."
"you-get_in-car__color__yellow","Get in the yellow car.","Sube al coche amarillo.","اركب السيارة الصفراء.","Steigen Sie in das gelbe Auto."
"you-get_in-car__age__old","Get in the old car.","Sube al coche viejo.","اركب السيارة القديمة.","Steig in das alte Auto."
"apple-put_in_bowl-bowl","Put the apple in the bowl.","Pon la manzana en el bol.","ضع التفاحة في الوعاء.","Lege den Apfel in die Schüssel."
"apple-store_small-shopping_cart","Put the apple in the shopping cart.","Pon la manzana en el carrito.","ضع التفاحة في عربة التسوق.","Lege den Apfel in den Einkaufswagen."
"apple-eat-you","Eat the apple.","Cómete la manzana.","تناول التفاحة.","Iss den Apfel."
"avocado-put_in_bowl-bowl","Put the avocado in the bowl.","Pon el aguacate en el bol.","ضع الأفوكادو في الوعاء.","Lege die Avocado in die Schüssel."
"avocado-store_small-shopping_cart","Put the avocado in the shopping cart.","Pon el aguacate en el carro de la compra.","ضع الأفوكادو في عربة التسوق.","Legen Sie die Avocado in den Einkaufswagen."
"avocado-eat-you","Eat the avocado.","Cómete el aguacate.","تناول الأفوكادو.","Iss die Avocado."
"backpack-store_medium-car","Put the backpack in the car.","Mete la mochila en el coche.","ضع حقيبة الظهر في السيارة.","Lege den Rucksack in das Auto."
"backpack-store_medium-car__color__black","Put the backpack in the black car.","Mete la mochila en el coche negro.","ضع حقيبة الظهر في السيارة السوداء.","Lege den Rucksack in das schwarze Auto."
"backpack__color__blue-store_medium-car","Put the blue backpack in the car.","Mete la mochila azul en el coche.","ضع حقيبة الظهر الزرقاء في السيارة.","Lege den blauen Rucksack in das Auto."
"backpack__color__blue-store_medium-car__color__black","Put the blue backpack in the black car.","Mete la mochila azul en el coche negro.","ضع حقيبة الظهر الزرقاء في السيارة السوداء.","Lege den blauen Rucksack in das schwarze Auto."
"backpack-store_medium-car__color__blue","Put the backpack in the blue car.","Mete la mochila en el coche azul.","ضع حقيبة الظهر في السيارة الزرقاء.","Lege den Rucksack in das blaue Auto."
"backpack__color__blue-store_medium-car__color__blue","Put the blue backpack in the blue car.","Mete la mochila azul en el coche azul.","ضع حقيبة الظهر الزرقاء في السيارة الزرقاء.","Lege den blauen Rucksack in das blaue Auto."
"backpack-store_medium-car__color__green","Put the backpack in the green car.","Mete la mochila en el coche verde.","ضع حقيبة الظهر في السيارة الخضراء.","Lege den Rucksack in das grüne Auto."
"backpack__color__blue-store_medium-car__color__green","Put the blue backpack in the green car.","Mete la mochila azul en el coche verde.","ضع حقيبة الظهر الزرقاء في السيارة الخضراء.","Lege den blauen Rucksack in das grüne Auto."
"backpack-store_medium-car__color__orange","Put the backpack in the orange car.","Mete la mochila en el coche naranja.","ضع حقيبة الظهر في السيارة البرتقالية.","Lege den Rucksack in das orangefarbene Auto."
"backpack__color__blue-store_medium-car__color__orange","Put the blue backpack in the orange car.","Mete la mochila azul en el coche naranja.","ضع حقيبة الظهر الزرقاء في السيارة البرتقالية.","Lege den blauen Rucksack in das orangefarbene Auto."
"backpack-store_medium-car__color__pink","Put the backpack in the pink car.","Mete la mochila en el coche rosa.","ضع حقيبة الظهر في السيارة الوردية.","Lege den Rucksack in das rosa Auto."
"backpack__color__blue-store_medium-car__color__pink","Put the blue backpack in the pink car.","Mete la mochila azul en el coche rosa.","ضع حقيبة الظهر الزرقاء في السيارة الوردية.","Lege den blauen Rucksack in das rosa Auto."
"backpack-store_medium-car__color__purple","Put the backpack in the purple car.","Mete la mochila en el coche morado.","ضع حقيبة الظهر في السيارة البنفسجية.","Lege den Rucksack in das lila Auto."
"backpack__color__blue-store_medium-car__color__purple","Put the blue backpack in the purple car.","Mete la mochila azul en el coche morado.","ضع حقيبة الظهر الزرقاء في السيارة البنفسجية.","Lege den blauen Rucksack in das lila Auto."
"backpack-store_medium-car__color__red","Put the backpack in the red car.","Mete la mochila en el coche rojo.","ضع حقيبة الظهر في السيارة الحمراء.","Lege den Rucksack in das rote Auto."
"backpack__color__blue-store_medium-car__color__red","Put the blue backpack in the red car.","Mete la mochila azul en el coche rojo.","ضع حقيبة الظهر الزرقاء في السيارة الحمراء.","Lege den blauen Rucksack in das rote Auto."
"backpack-store_medium-car__color__silver","Put the backpack in the silver car.","Mete la mochila en el coche plateado.","ضع حقيبة الظهر في السيارة الفضية.","Lege den Rucksack in das silberne Auto."
"backpack__color__blue-store_medium-car__color__silver","Put the blue backpack in the silver car.","Mete la mochila azul en el coche plateado.","ضع حقيبة الظهر الزرقاء في السيارة الفضية.","Lege den blauen Rucksack in das silberne Auto."
"backpack-store_medium-car__color__white","Put the backpack in the white car.","Mete la mochila en el coche blanco.","ضع حقيبة الظهر في السيارة البيضاء.","Lege den Rucksack in das weiße Auto."
"backpack__color__blue-store_medium-car__color__white","Put the blue backpack in the white car.","Mete la mochila azul en el coche blanco.","ضع حقيبة الظهر الزرقاء في السيارة البيضاء.","Lege den blauen Rucksack in das weiße Auto."
"backpack-store_medium-car__color__yellow","Put the backpack in the yellow car.","Mete la mochila en el coche amarillo.","ضع حقيبة الظهر في السيارة الصفراء.","Lege den Rucksack in das gelbe Auto."
"backpack-store_medium-car__age__new","Put the backpack in the new car.","Mete la mochila en el coche nuevo.","ضع حقيبة الظهر في السيارة الجديدة.","Lege den Rucksack in das neue Auto."
"backpack__color__blue-store_medium-car__color__yellow","Put the blue backpack in the yellow car.","Mete la mochila azul en el coche amarillo.","ضع حقيبة الظهر الزرقاء في السيارة الصفراء.","Lege den blauen Rucksack in das gelbe Auto."
"backpack__color__blue-store_medium-car__age__new","Put the blue backpack in the new car.","Pon la mochila azul en el coche nuevo.","ضع حقيبة الظهر الزرقاء في السيارة الجديدة.","Lege den blauen Rucksack in das neue Auto."
"backpack-store_medium-car__age__old","Put the backpack in the old car.","Pon la mochila en el coche viejo.","ضع حقيبة الظهر في السيارة القديمة.","Lege den Rucksack in das alte Auto."
"backpack__color__blue-store_medium-car__age__old","Put the blue backpack in the old car.","Pon la mochila azul en el coche viejo.","ضع حقيبة الظهر الزرقاء في السيارة القديمة.","Lege den blauen Rucksack in das alte Auto."
"backpack__color__red-store_medium-car","Put the red backpack in the car.","Pon la mochila roja en el coche.","ضع حقيبة الظهر الحمراء في السيارة.","Lege den roten Rucksack in das Auto."
"backpack__color__red-store_medium-car__color__black","Put the red backpack in the black car.","Pon la mochila roja en el coche negro.","ضع حقيبة الظهر الحمراء في السيارة السوداء.","Lege den roten Rucksack in das schwarze Auto."
"backpack__color__red-store_medium-car__color__blue","Put the red backpack in the blue car.","Pon la mochila roja en el coche azul.","ضع حقيبة الظهر الحمراء في السيارة الزرقاء.","Lege den roten Rucksack in das blaue Auto."
"backpack__color__red-store_medium-car__color__green","Put the red backpack in the green car.","Pon la mochila roja en el coche verde.","ضع حقيبة الظهر الحمراء في السيارة الخضراء.","Lege den roten Rucksack in das grüne Auto."
"backpack__color__red-store_medium-car__color__orange","Put the red backpack in the orange car.","Pon la mochila roja en el coche naranja.","ضع حقيبة الظهر الحمراء في السيارة البرتقالية.","Lege den roten Rucksack in das orangefarbene Auto."
"backpack__color__red-store_medium-car__color__pink","Put the red backpack in the pink car.","Pon la mochila roja en el coche rosa.","ضع حقيبة الظهر الحمراء في السيارة الوردية.","Lege den roten Rucksack in das rosa Auto."
"backpack__color__red-store_medium-car__color__purple","Put the red backpack in the purple car.","Pon la mochila roja en el coche morado.","ضع حقيبة الظهر الحمراء في السيارة البنفسجية.","Lege den roten Rucksack in das lila Auto."
"backpack__color__red-store_medium-car__color__red","Put the red backpack in the red car.","Pon la mochila roja en el coche rojo.","ضع حقيبة الظهر الحمراء في السيارة الحمراء.","Lege den roten Rucksack in das rote Auto."
"backpack__color__red-store_medium-car__color__silver","Put the red backpack in the silver car.","Pon la mochila roja en el coche plateado.","ضع حقيبة الظهر الحمراء في السيارة الفضية.","Lege den roten Rucksack in das silberne Auto."
"backpack__color__red-store_medium-car__color__white","Put the red backpack in the white car.","Pon la mochila roja en el coche blanco.","ضع حقيبة الظهر الحمراء في السيارة البيضاء.","Lege den roten Rucksack in das weiße Auto."
"backpack__color__red-store_medium-car__color__yellow","Put the red backpack in the yellow car.","Pon la mochila roja en el coche amarillo.","ضع حقيبة الظهر الحمراء في السيارة الصفراء.","Lege den roten Rucksack in das gelbe Auto."
"backpack__color__red-store_medium-car__age__new","Put the red backpack in the new car.","Pon la mochila roja en el coche nuevo.","ضع حقيبة الظهر الحمراء في السيارة الجديدة.","Lege den roten Rucksack in das neue Auto."
"backpack__color__red-store_medium-car__age__old","Put the red backpack in the old car.","Pon la mochila roja en el coche viejo.","ضع حقيبة الظهر الحمراء في السيارة القديمة.","Lege den roten Rucksack in das alte Auto."
"ball-give-boy","Give the ball to the boy.","Dale la pelota al niño.","أعط الكرة للصبي.","Gib den Ball dem Jungen."
"ball-give-brothers","Give the ball to the brothers.","Dale la pelota a los hermanos.","أعط الكرة للأخوين.","Gib den Ball den Brüdern."
"ball-give-you","Take the ball.","Coge la pelota.","خذ الكرة.","Nimm den Ball."
"banana-put_in_bowl-bowl","Put the banana in the bowl.","Pon el plátano en el cuenco.","ضع الموزة في الوعاء.","Lege die Banane in die Schüssel."
"banana-eat-you","Eat the banana.","Cómete el plátano.","تناول الموزة.","Iss die Banane."
"banana_peeled-eat-you","Eat the peeled banana.","Cómete el plátano pelado.","تناول الموزة المقشرة.","Iss die geschälte Banane."
"beanie-interact_clothes-clothes_line","Hang the beanie on the clothesline.","Cuelga el gorrito en el tendedero.","علّق القبعة الصغيرة على حبل الغسيل.","Hänge die Mütze auf die Wäscheleine."
