"key","en","ar","de"
"shoes-store_medium-car","Put the shoes in the car.","ضع الحذاء في السيارة.","Legen Sie die Schuhe in das Auto."
"shoes-store_medium-car__color__black","Put the shoes in the black car.","ضع الحذاء في السيارة السوداء.","Lege die Schuhe in das schwarze Auto."
"shoes-store_medium-car__color__blue","Put the shoes in the blue car.","ضع الحذاء في السيارة الزرقاء.","Lege die Schuhe in das blaue Auto."
"shoes-store_medium-car__color__green","Put the shoes in the green car.","ضع الحذاء في السيارة الخضراء.","Lege die Schuhe in das grüne Auto."
"shoes-store_medium-car__color__orange","Put the shoes in the orange car.","ضع الحذاء في السيارة البرتقالية.","Lege die Schuhe in das orangefarbene Auto."
"shoes-store_medium-car__color__pink","Put the shoes in the pink car.","ضع الحذاء في السيارة الوردية.","Lege die Schuhe in das rosa Auto."
"shoes-store_medium-car__color__purple","Put the shoes in the purple car.","ضع الحذاء في السيارة البنفسجية.","Lege die Schuhe in das lila Auto."
"shoes-store_medium-car__color__red","Put the shoes in the red car.","ضع الحذاء في السيارة الحمراء.","Lege die Schuhe in das rote Auto."
"shoes-store_medium-car__color__silver","Put the shoes in the silver car.","ضع الحذاء في السيارة الفضية.","Lege die Schuhe in das silberne Auto."
"shoes-store_medium-car__color__white","Put the shoes in the white car.","ضع الحذاء في السيارة البيضاء.","Lege die Schuhe in das weiße Auto."
"shoes-store_medium-car__color__yellow","Put the shoes in the yellow car.","ضع الحذاء في السيارة الصفراء.","Legen Sie die Schuhe in das gelbe Auto."
"shoes-store_medium-car__age__new","Put the shoes in the new car.","ضع الحذاء في السيارة الجديدة.","Legen Sie die Schuhe in das neue Auto."
"shoes-store_medium-car__age__old","Put the shoes in the old car.","ضع الحذاء في السيارة القديمة.","Legen Sie die Schuhe in das alte Auto."
"you-get_in-car__color__blue","Get in the blue car.","اركب السيارة الزرقاء.","Steigen Sie in das blaue Auto."
"you-get_in-car__color__green","Get in the green car.","اركب السيارة الخضراء.","Steigen Sie in das grüne Auto."
"you-get_in-car__color__orange","Get in the orange car.","اركب السيارة البرتقالية.","Steig in das orangefarbene Auto."
"you-get_in-car__color__pink","Get in the pink car.","اركب السيارة الوردية.","Steig in das rosa Auto."
"you-get_in-car__color__purple","Get in the purple car.","اركب السيارة البنفسجية.","Steig in das lila Auto."
"you-get_in-car__color__red","Get in the red car.","اركب السيارة الحمراء.","Steigen Sie in das rote Auto."
"you-get_in-car__color__silver","Get in the silver car.","اركب السيارة الفضية.","Steig in das silberne Auto."
"you-get_in-car__color__white","Get in the white car.","اركب السيارة البيضاء.","Steig in das weiße Auto."
"you-get_in-car__color__yellow","Get in the yellow car.","اركب السيارة الصفراء.","Steigen Sie in das gelbe Auto."
"you-get_in-car__age__old","Get in the old car.","اركب السيارة القديمة.","Steig in das alte Auto."
"apple-put_in_bowl-bowl","Put the apple in the bowl.","ضع التفاحة في الوعاء.","Lege den Apfel in die Schüssel."
"apple-store_small-shopping_cart","Put the apple in the shopping cart.","ضع التفاحة في عربة التسوق.","Lege den Apfel in den Einkaufswagen."
"apple-eat-you","Eat the apple.","تناول التفاحة.","Iss den Apfel."
"avocado-put_in_bowl-bowl","Put the avocado in the bowl.","ضع الأفوكادو في الوعاء.","Lege die Avocado in die Schüssel."
"avocado-store_small-shopping_cart","Put the avocado in the shopping cart.","ضع الأفوكادو في عربة التسوق.","Legen Sie die Avocado in den Einkaufswagen."
"avocado-eat-you","Eat the avocado.","تناول الأفوكادو.","Iss die Avocado."
"backpack-store_medium-car","Put the backpack in the car.","ضع حقيبة الظهر في السيارة.","Lege den Rucksack in das Auto."
"backpack-store_medium-car__color__black","Put the backpack in the black car.","ضع حقيبة الظهر في السيارة السوداء.","Lege den Rucksack in das schwarze Auto."
"backpack__color__blue-store_medium-car","Put the blue backpack in the car.","ضع حقيبة الظهر الزرقاء في السيارة.","Lege den blauen Rucksack in das Auto."
"backpack__color__blue-store_medium-car__color__black","Put the blue backpack in the black car.","ضع حقيبة الظهر الزرقاء في السيارة السوداء.","Lege den blauen Rucksack in das schwarze Auto."
"backpack-store_medium-car__color__blue","Put the backpack in the blue car.","ضع حقيبة الظهر في السيارة الزرقاء.","Lege den Rucksack in das blaue Auto."
"backpack__color__blue-store_medium-car__color__blue","Put the blue backpack in the blue car.","ضع حقيبة الظهر الزرقاء في السيارة الزرقاء.","Lege den blauen Rucksack in das blaue Auto."
"backpack-store_medium-car__color__green","Put the backpack in the green car.","ضع حقيبة الظهر في السيارة الخضراء.","Lege den Rucksack in das grüne Auto."
"backpack__color__blue-store_medium-car__color__green","Put the blue backpack in the green car.","ضع حقيبة الظهر الزرقاء في السيارة الخضراء.","Lege den blauen Rucksack in das grüne Auto."
"backpack-store_medium-car__color__orange","Put the backpack in the orange car.","ضع حقيبة الظهر في السيارة البرتقالية.","Lege den Rucksack in das orangefarbene Auto."
"backpack__color__blue-store_medium-car__color__orange","Put the blue backpack in the orange car.","ضع حقيبة الظهر الزرقاء في السيارة البرتقالية.","Lege den blauen Rucksack in das orangefarbene Auto."
"backpack-store_medium-car__color__pink","Put the backpack in the pink car.","ضع حقيبة الظهر في السيارة الوردية.","Lege den Rucksack in das rosa Auto."
"backpack__color__blue-store_medium-car__color__pink","Put the blue backpack in the pink car.","ضع حقيبة الظهر الزرقاء في السيارة الوردية.","Lege den blauen Rucksack in das rosa Auto."
"backpack-store_medium-car__color__purple","Put the backpack in the purple car.","ضع حقيبة الظهر في السيارة البنفسجية.","Lege den Rucksack in das lila Auto."
"backpack__color__blue-store_medium-car__color__purple","Put the blue backpack in the purple car.","ضع حقيبة الظهر الزرقاء في السيارة البنفسجية.","Lege den blauen Rucksack in das lila Auto."
"backpack-store_medium-car__color__red","Put the backpack in the red car.","ضع حقيبة الظهر في السيارة الحمراء.","Lege den Rucksack in das rote Auto."
"backpack__color__blue-store_medium-car__color__red","Put the blue backpack in the red car.","ضع حقيبة الظهر الزرقاء في السيارة الحمراء.","Lege den blauen Rucksack in das rote Auto."
"backpack-store_medium-car__color__silver","Put the backpack in the silver car.","ضع حقيبة الظهر في السيارة الفضية.","Lege den Rucksack in das silberne Auto."
"backpack__color__blue-store_medium-car__color__silver","Put the blue backpack in the silver car.","ضع حقيبة الظهر الزرقاء في السيارة الفضية.","Lege den blauen Rucksack in das silberne Auto."
"backpack-store_medium-car__color__white","Put the backpack in the white car.","ضع حقيبة الظهر في السيارة البيضاء.","Lege den Rucksack in das weiße Auto."
"backpack__color__blue-store_medium-car__color__white","Put the blue backpack in the white car.","ضع حقيبة الظهر الزرقاء في السيارة البيضاء.","Lege den blauen Rucksack in das weiße Auto."
"backpack-store_medium-car__color__yellow","Put the backpack in the yellow car.","ضع حقيبة الظهر في السيارة الصفراء.","Lege den Rucksack in das gelbe Auto."
"backpack-store_medium-car__age__new","Put the backpack in the new car.","ضع حقيبة الظهر في السيارة الجديدة.","Lege den Rucksack in das neue Auto."
"backpack__color__blue-store_medium-car__color__yellow","Put the blue backpack in the yellow car.","ضع حقيبة الظهر الزرقاء في السيارة الصفراء.","Lege den blauen Rucksack in das gelbe Auto."
"backpack__color__blue-store_medium-car__age__new","Put the blue backpack in the new car.","ضع حقيبة الظهر الزرقاء في السيارة الجديدة.","Lege den blauen Rucksack in das neue Auto."
"backpack-store_medium-car__age__old","Put the backpack in the old car.","ضع حقيبة الظهر في السيارة القديمة.","Lege den Rucksack in das alte Auto."
"backpack__color__blue-store_medium-car__age__old","Put the blue backpack in the old car.","ضع حقيبة الظهر الزرقاء في السيارة القديمة.","Lege den blauen Rucksack in das alte Auto."
"backpack__color__red-store_medium-car","Put the red backpack in the car.","ضع حقيبة الظهر الحمراء في السيارة.","Lege den roten Rucksack in das Auto."
"backpack__color__red-store_medium-car__color__black","Put the red backpack in the black car.","ضع حقيبة الظهر الحمراء في السيارة السوداء.","Lege den roten Rucksack in das schwarze Auto."
"backpack__color__red-store_medium-car__color__blue","Put the red backpack in the blue car.","ضع حقيبة الظهر الحمراء في السيارة الزرقاء.","Lege den roten Rucksack in das blaue Auto."
"backpack__color__red-store_medium-car__color__green","Put the red backpack in the green car.","ضع حقيبة الظهر الحمراء في السيارة الخضراء.","Lege den roten Rucksack in das grüne Auto."
"backpack__color__red-store_medium-car__color__orange","Put the red backpack in the orange car.","ضع حقيبة الظهر الحمراء في السيارة البرتقالية.","Lege den roten Rucksack in das orangefarbene Auto."
"backpack__color__red-store_medium-car__color__pink","Put the red backpack in the pink car.","ضع حقيبة الظهر الحمراء في السيارة الوردية.","Lege den roten Rucksack in das rosa Auto."
"backpack__color__red-store_medium-car__color__purple","Put the red backpack in the purple car.","ضع حقيبة الظهر الحمراء في السيارة البنفسجية.","Lege den roten Rucksack in das lila Auto."
"backpack__color__red-store_medium-car__color__red","Put the red backpack in the red car.","ضع حقيبة الظهر الحمراء في السيارة الحمراء.","Lege den roten Rucksack in das rote Auto."
"backpack__color__red-store_medium-car__color__silver","Put the red backpack in the silver car.","ضع حقيبة الظهر الحمراء في السيارة الفضية.","Lege den roten Rucksack in das silberne Auto."
"backpack__color__red-store_medium-car__color__white","Put the red backpack in the white car.","ضع حقيبة الظهر الحمراء في السيارة البيضاء.","Lege den roten Rucksack in das weiße Auto."
"backpack__color__red-store_medium-car__color__yellow","Put the red backpack in the yellow car.","ضع حقيبة الظهر الحمراء في السيارة الصفراء.","Lege den roten Rucksack in das gelbe Auto."
"backpack__color__red-store_medium-car__age__new","Put the red backpack in the new car.","ضع حقيبة الظهر الحمراء في السيارة الجديدة.","Lege den roten Rucksack in das neue Auto."
"backpack__color__red-store_medium-car__age__old","Put the red backpack in the old car.","ضع حقيبة الظهر الحمراء في السيارة القديمة.","Lege den roten Rucksack in das alte Auto."
"ball-give-boy","Give the ball to the boy.","أعط الكرة للصبي.","Gib den Ball dem Jungen."
"ball-give-brothers","Give the ball to the brothers.","أعط الكرة للأخوين.","Gib den Ball den Brüdern."
"ball-give-you","Take the ball.","خذ الكرة.","Nimm den Ball."
"banana-put_in_bowl-bowl","Put the banana in the bowl.","ضع الموزة في الوعاء.","Lege die Banane in die Schüssel."
"banana-eat-you","Eat the banana.","تناول الموزة.","Iss die Banane."
"banana_peeled-eat-you","Eat the peeled banana.","تناول الموزة المقشرة.","Iss die geschälte Banane."
"beanie-interact_clothes-clothes_line","Hang the beanie on the clothesline.","علّق القبعة الصغيرة على حبل الغسيل.","Hänge die Mütze auf die Wäscheleine."
"beanie-interact_clothes-washing_machine","Wash the beanie.","اغسل القبعة الصغيرة.","Wasche die Mütze."
"beanie-interact_clothes-you","Put on the beanie.","ارتدي القبعة الصغيرة.","Ziehe die Mütze an."
"bed-move_furniture-apartment","Move the bed into the apartment.","انقل السرير إلى الشقة.","Bringe das Bett in die Wohnung."
"books-store_small-backpack","Put the books in the backpack.","ضع الكتب في حقيبة الظهر.","Packe die Bücher in den Rucksack."
"books-store_small-backpack__color__blue","Put the books in the blue backpack.","ضع الكتب في حقيبة الظهر الزرقاء.","Lege die Bücher in den blauen Rucksack."
"books-store_small-box_opened","Put the books in the box.","ضع الكتب في الصندوق.","Lege die Bücher in die Schachtel."
"bottle-store_small-cupboard","Put the bottle in the cabinet.","ضع الزجاجة في الخزانة.","Lege die Flasche in den Schrank."
"box_closed-move_furniture-apartment","Put the box into the apartment.","ضع الصندوق في الشقة.","Bringe die Kiste in die Wohnung."
"bread-eat-you","Eat the bread.","تناول الخبز.","Essen Sie das Brot."
"broccoli-put_in_bowl-bowl","Put the broccoli in the bowl.","ضع البروكلي في الوعاء.","Gib den Brokkoli in die Schüssel."
"broccoli-eat-you","Eat the broccoli.","تناول البروكلي.","Iss den Brokkoli."
"brush-paint_in-notebook","Paint in the notebook.","ارسم في الدفتر.","Male in das Notizbuch."
"brush-store_small-suitcase","Put the brush in the suitcase.","ضع الفرشاة في الحقيبة.","Lege den Pinsel in den Koffer."
"bus-drive_to-church","The bus goes to the church.","تذهب الحافلة إلى الكنيسة.","Der Bus fährt zur Kirche."
"bus-drive_to-house","The bus goes to the house.","تذهب الحافلة إلى المنزل.","Der Bus fährt zum Haus."
"cake-eat-you","Eat the cake.","تناول الكعكة.","Essen Sie den Kuchen."
"camera-take_photo-giraffe","Take a photo of the giraffe.","التقط صورة للزرافة.","Machen Sie ein Foto von der Giraffe."
"camera-take_photo-snake","Take a photo of the snake.","التقط صورة للثعبان.","Machen Sie ein Foto von der Schlange."
"camera-take_photo-tortoise","Take a photo of the tortoise.","التقط صورة للسلحفاة.","Machen Sie ein Foto von der Schildkröte."
"cap-interact_clothes-you","Put on the cap.","ارتدِ القبعة.","Setz die Mütze auf."
"car-drive_to-church","Drive to the church.","قُد إلى الكنيسة.","Fahre zur Kirche."
"car-drive_to-house","Drive to the house.","قُد السيارة إلى المنزل.","Fahren Sie zum Haus."
"car__color__black-drive_to-house","Park the car.","أركن السيارة.","Parke das Auto."
"car_key-put_in_bowl-bowl","Put the car key in the bowl.","ضع مفتاح السيارة في الوعاء.","Legen Sie den Autoschlüssel in die Schale."
"car_key-give-man","Give the car key to the man.","أعط مفتاح السيارة للرجل.","Geben Sie den Autoschlüssel dem Mann."
"car_key-give-woman","Give the car key to the woman.","أعط مفتاح السيارة للمرأة.","Geben Sie den Autoschlüssel der Frau."
"car_key-give-you","Take the keys.","خذ المفاتيح.","Nimm die Schlüssel."
"cat-store_medium-car","Put the cat in the car.","ضع القطة في السيارة.","Setzen Sie die Katze in das Auto."
"cat-store_medium-car__color__black","Put the cat in the black car.","ضع القطة في السيارة السوداء.","Setze die Katze in das schwarze Auto."
"cat__color__grey-store_medium-car","Put the grey cat in the car.","ضع القطة الرمادية في السيارة.","Setzen Sie die graue Katze in das Auto."
"cat__color__grey-store_medium-car__color__black","Put the grey cat in the black car.","ضع القطة الرمادية في السيارة السوداء.","Setzen Sie die graue Katze in das schwarze Auto."
"cat-store_medium-car__color__blue","Put the cat in the blue car.","ضع القطة في السيارة الزرقاء.","Setze die Katze in das blaue Auto."
"cat__color__grey-store_medium-car__color__blue","Put the grey cat in the blue car.","ضع القطة الرمادية في السيارة الزرقاء.","Setze die graue Katze in das blaue Auto."
"cat-store_medium-car__color__green","Put the cat in the green car.","ضع القطة في السيارة الخضراء.","Setze die Katze in das grüne Auto."
"cat__color__grey-store_medium-car__color__green","Put the grey cat in the green car.","ضع القطة الرمادية في السيارة الخضراء.","Stecke die graue Katze in das grüne Auto."
"cat-store_medium-car__color__orange","Put the cat in the orange car.","ضع القطة في السيارة البرتقالية.","Stecke die Katze in das orangefarbene Auto."
"cat__color__grey-store_medium-car__color__orange","Put the grey cat in the orange car.","ضع القطة الرمادية في السيارة البرتقالية.","Stecke die graue Katze in das orangefarbene Auto."
"cat-store_medium-car__color__pink","Put the cat in the pink car.","ضع القطة في السيارة الوردية.","Stecke die Katze in das rosa Auto."
"cat__color__grey-store_medium-car__color__pink","Put the grey cat in the pink car.","ضع القطة الرمادية في السيارة الوردية.","Stecke die graue Katze in das rosa Auto."
"cat-store_medium-car__color__purple","Put the cat in the purple car.","ضع القطة في السيارة الأرجوانية.","Stecke die Katze in das lila Auto."
"cat__color__grey-store_medium-car__color__purple","Put the grey cat in the purple car.","ضع القطة الرمادية في السيارة الأرجوانية.","Stecke die graue Katze in das lila Auto."
"cat-store_medium-car__color__red","Put the cat in the red car.","ضع القطة في السيارة الحمراء.","Stecke die Katze in das rote Auto."
"cat__color__grey-store_medium-car__color__red","Put the grey cat in the red car.","ضع القطة الرمادية في السيارة الحمراء.","Stecke die graue Katze in das rote Auto."
"cat-store_medium-car__color__silver","Put the cat in the silver car.","ضع القطة في السيارة الفضية.","Setze die Katze in das silberne Auto."
